scenario,seed,stage,total_arrivals,mean_daily_arrivals,peak_daily_arrivals,mean_in_stage,peak_in_stage,total_completed,completion_ratio
ALL_BASELINE,1,ref_to_mri,453,2.0684931506849313,6,29.34246575342466,43,421,0.9293598233995585
ALL_BASELINE,1,mri_to_report,421,1.7838983050847457,6,8.454794520547946,19,409,0.9714964370546318
ALL_BASELINE,1,report_to_biopmdt,409,1.6558704453441295,4,5.945205479452055,15,398,0.9731051344743277
ALL_BASELINE,1,biopmdt_to_biopsy,227,1.4099378881987579,4,16.72876712328767,34,204,0.8986784140969163
ALL_BASELINE,1,biopsy_to_pathrep,204,1.457142857142857,4,4.808219178082192,15,192,0.9411764705882353
ALL_BASELINE,1,pathrep_to_treatmdt,167,1.31496062992126,3,4.7972602739726025,15,158,0.9461077844311377
ALL_BASELINE,1,treatmdt_to_outpat,158,1.3504273504273505,3,4.657534246575342,17,153,0.9683544303797469
OBS_MIX,1,ref_to_mri,453,2.0684931506849313,6,16.33150684931507,25,421,0.9293598233995585
OBS_MIX,1,mri_to_report,421,2.2041884816753927,7,4.942465753424657,13,417,0.9904988123515439
OBS_MIX,1,report_to_biopmdt,417,2.2180851063829787,7,3.2246575342465755,8,411,0.9856115107913669
OBS_MIX,1,biopmdt_to_biopsy,235,1.7407407407407407,5,17.383561643835616,33,213,0.9063829787234042
OBS_MIX,1,biopsy_to_pathrep,213,1.4589041095890412,5,5.112328767123287,16,202,0.9483568075117371
OBS_MIX,1,pathrep_to_treatmdt,174,1.3384615384615384,4,4.975342465753425,15,164,0.9425287356321839
OBS_MIX,1,treatmdt_to_outpat,164,1.28125,4,4.876712328767123,17,158,0.9634146341463414
OBS_MIX_DES_BIOPSY,1,ref_to_mri,453,2.0684931506849313,6,16.33150684931507,25,421,0.9293598233995585
OBS_MIX_DES_BIOPSY,1,mri_to_report,421,2.2041884816753927,7,4.942465753424657,13,417,0.9904988123515439
OBS_MIX_DES_BIOPSY,1,report_to_biopmdt,417,2.2180851063829787,7,3.2246575342465755,8,411,0.9856115107913669
OBS_MIX_DES_BIOPSY,1,biopmdt_to_biopsy,235,1.7407407407407407,5,0.0,0,235,1.0
OBS_MIX_DES_BIOPSY,1,biopsy_to_pathrep,235,2.611111111111111,6,5.619178082191781,12,231,0.9829787234042553
OBS_MIX_DES_BIOPSY,1,pathrep_to_treatmdt,197,1.3133333333333332,4,5.66027397260274,15,190,0.9644670050761421
OBS_MIX_DES_BIOPSY,1,treatmdt_to_outpat,190,1.3013698630136987,3,5.63013698630137,14,178,0.9368421052631579
ALL_PROSTAD,1,ref_to_mri,453,2.0684931506849313,6,0.0,0,208,0.45916114790286977
ALL_PROSTAD,1,mri_to_report,208,4.0,4,0.5698630136986301,4,208,1.0
ALL_PROSTAD,1,report_to_biopmdt,208,4.0,4,0.0,0,208,1.0
ALL_PROSTAD,1,biopmdt_to_biopsy,119,2.4285714285714284,4,8.865753424657534,16,108,0.907563025210084
ALL_PROSTAD,1,biopsy_to_pathrep,108,1.2857142857142858,3,2.5753424657534247,8,104,0.9629629629629629
ALL_PROSTAD,1,pathrep_to_treatmdt,85,1.1805555555555556,3,2.6904109589041094,9,84,0.9882352941176471
ALL_PROSTAD,1,treatmdt_to_outpat,84,1.1830985915492958,2,2.536986301369863,11,82,0.9761904761904762
ALL_BASELINE,2,ref_to_mri,445,2.0506912442396312,6,29.586301369863012,47,425,0.9550561797752809
ALL_BASELINE,2,mri_to_report,425,1.7418032786885247,9,8.791780821917808,21,410,0.9647058823529412
ALL_BASELINE,2,report_to_biopmdt,410,1.759656652360515,5,5.83013698630137,14,403,0.9829268292682927
ALL_BASELINE,2,biopmdt_to_biopsy,245,1.3764044943820224,4,16.73972602739726,27,218,0.889795918367347
ALL_BASELINE,2,biopsy_to_pathrep,218,1.3374233128834356,4,4.950684931506849,13,215,0.9862385321100917
ALL_BASELINE,2,pathrep_to_treatmdt,178,1.3088235294117647,4,5.156164383561644,13,168,0.9438202247191011
ALL_BASELINE,2,treatmdt_to_outpat,168,1.2537313432835822,4,4.8191780821917805,12,160,0.9523809523809523
OBS_MIX,2,ref_to_mri,445,2.0506912442396312,6,14.490410958904109,22,412,0.9258426966292135
OBS_MIX,2,mri_to_report,412,2.227027027027027,7,5.035616438356165,14,407,0.9878640776699029
OBS_MIX,2,report_to_biopmdt,407,2.176470588235294,7,3.041095890410959,10,404,0.9926289926289926
OBS_MIX,2,biopmdt_to_biopsy,246,1.7202797202797202,5,16.931506849315067,26,223,0.9065040650406504
OBS_MIX,2,biopsy_to_pathrep,223,1.4203821656050954,5,5.013698630136986,12,217,0.9730941704035875
OBS_MIX,2,pathrep_to_treatmdt,180,1.2587412587412588,3,5.284931506849315,10,172,0.9555555555555556
OBS_MIX,2,treatmdt_to_outpat,172,1.2112676056338028,3,4.936986301369863,12,164,0.9534883720930233
OBS_MIX_DES_BIOPSY,2,ref_to_mri,445,2.0506912442396312,6,14.490410958904109,22,412,0.9258426966292135
OBS_MIX_DES_BIOPSY,2,mri_to_report,412,2.227027027027027,7,5.035616438356165,14,407,0.9878640776699029
OBS_MIX_DES_BIOPSY,2,report_to_biopmdt,407,2.176470588235294,7,3.041095890410959,10,404,0.9926289926289926
OBS_MIX_DES_BIOPSY,2,biopmdt_to_biopsy,246,1.7202797202797202,5,0.0,0,240,0.975609756097561
OBS_MIX_DES_BIOPSY,2,biopsy_to_pathrep,240,2.6373626373626373,6,5.410958904109589,12,234,0.975
OBS_MIX_DES_BIOPSY,2,pathrep_to_treatmdt,195,1.2745098039215685,4,5.6876712328767125,12,188,0.9641025641025641
OBS_MIX_DES_BIOPSY,2,treatmdt_to_outpat,188,1.2789115646258504,5,5.550684931506849,12,182,0.9680851063829787
ALL_PROSTAD,2,ref_to_mri,445,2.0506912442396312,6,0.0,0,206,0.46292134831460674
ALL_PROSTAD,2,mri_to_report,206,3.9615384615384617,4,0.5643835616438356,4,206,1.0
ALL_PROSTAD,2,report_to_biopmdt,206,3.9615384615384617,4,0.0,0,206,1.0
ALL_PROSTAD,2,biopmdt_to_biopsy,130,2.549019607843137,4,9.326027397260274,16,118,0.9076923076923077
ALL_PROSTAD,2,biopsy_to_pathrep,118,1.4047619047619047,6,2.7095890410958905,8,118,1.0
ALL_PROSTAD,2,pathrep_to_treatmdt,101,1.1348314606741574,2,2.893150684931507,9,100,0.9900990099009901
ALL_PROSTAD,2,treatmdt_to_outpat,100,1.1494252873563218,2,2.873972602739726,7,100,1.0
ALL_BASELINE,3,ref_to_mri,439,2.0610328638497655,6,29.53698630136986,40,412,0.9384965831435079
ALL_BASELINE,3,mri_to_report,412,1.6414342629482073,5,8.241095890410959,17,408,0.9902912621359223
ALL_BASELINE,3,report_to_biopmdt,408,1.6929460580912863,6,5.764383561643836,13,402,0.9852941176470589
ALL_BASELINE,3,biopmdt_to_biopsy,253,1.4540229885057472,4,19.284931506849315,28,239,0.9446640316205533
ALL_BASELINE,3,biopsy_to_pathrep,239,1.3815028901734103,4,5.717808219178083,12,230,0.9623430962343096
ALL_BASELINE,3,pathrep_to_treatmdt,183,1.2887323943661972,5,5.427397260273972,14,178,0.9726775956284153
ALL_BASELINE,3,treatmdt_to_outpat,178,1.2714285714285714,3,5.67945205479452,16,170,0.9550561797752809
OBS_MIX,3,ref_to_mri,439,2.0610328638497655,6,14.013698630136986,21,397,0.9043280182232346
OBS_MIX,3,mri_to_report,397,2.157608695652174,7,4.553424657534246,14,394,0.9924433249370277
OBS_MIX,3,report_to_biopmdt,394,2.2514285714285713,7,2.6191780821917807,7,390,0.9898477157360406
OBS_MIX,3,biopmdt_to_biopsy,246,1.835820895522388,5,18.75890410958904,28,227,0.9227642276422764
OBS_MIX,3,biopsy_to_pathrep,227,1.455128205128205,4,5.52054794520548,13,221,0.973568281938326
OBS_MIX,3,pathrep_to_treatmdt,178,1.2992700729927007,4,5.32054794520548,14,175,0.9831460674157303
OBS_MIX,3,treatmdt_to_outpat,175,1.232394366197183,3,5.561643835616438,13,166,0.9485714285714286
OBS_MIX_DES_BIOPSY,3,ref_to_mri,439,2.0610328638497655,6,14.013698630136986,21,397,0.9043280182232346
OBS_MIX_DES_BIOPSY,3,mri_to_report,397,2.157608695652174,7,4.553424657534246,14,394,0.9924433249370277
OBS_MIX_DES_BIOPSY,3,report_to_biopmdt,394,2.2514285714285713,7,2.6191780821917807,7,390,0.9898477157360406
OBS_MIX_DES_BIOPSY,3,biopmdt_to_biopsy,246,1.835820895522388,5,0.0,0,246,1.0
OBS_MIX_DES_BIOPSY,3,biopsy_to_pathrep,246,2.6739130434782608,6,5.926027397260274,14,242,0.983739837398374
OBS_MIX_DES_BIOPSY,3,pathrep_to_treatmdt,194,1.2516129032258065,4,5.767123287671233,11,189,0.9742268041237113
OBS_MIX_DES_BIOPSY,3,treatmdt_to_outpat,189,1.2193548387096773,3,6.073972602739726,15,184,0.9735449735449735
ALL_PROSTAD,3,ref_to_mri,439,2.0610328638497655,6,0.0,0,206,0.46924829157175396
ALL_PROSTAD,3,mri_to_report,206,3.9615384615384617,4,0.5643835616438356,4,206,1.0
ALL_PROSTAD,3,report_to_biopmdt,206,3.9615384615384617,4,0.0,0,206,1.0
ALL_PROSTAD,3,biopmdt_to_biopsy,129,2.63265306122449,4,9.808219178082192,17,120,0.9302325581395349
ALL_PROSTAD,3,biopsy_to_pathrep,120,1.263157894736842,3,2.7095890410958905,8,116,0.9666666666666667
ALL_PROSTAD,3,pathrep_to_treatmdt,95,1.1728395061728396,3,2.797260273972603,8,93,0.9789473684210527
ALL_PROSTAD,3,treatmdt_to_outpat,93,1.1481481481481481,3,2.9178082191780823,7,88,0.946236559139785
ALL_BASELINE,4,ref_to_mri,484,2.1607142857142856,7,33.56438356164384,55,451,0.9318181818181818
ALL_BASELINE,4,mri_to_report,451,1.7896825396825398,7,8.931506849315069,18,448,0.9933481152993349
ALL_BASELINE,4,report_to_biopmdt,448,1.8137651821862348,6,6.493150684931507,15,442,0.9866071428571429
ALL_BASELINE,4,biopmdt_to_biopsy,279,1.4090909090909092,4,20.95068493150685,32,262,0.9390681003584229
ALL_BASELINE,4,biopsy_to_pathrep,262,1.4086021505376345,4,6.353424657534247,15,257,0.9809160305343512
ALL_BASELINE,4,pathrep_to_treatmdt,220,1.4379084967320261,4,6.279452054794521,16,212,0.9636363636363636
ALL_BASELINE,4,treatmdt_to_outpat,212,1.3766233766233766,4,6.873972602739726,17,209,0.9858490566037735
OBS_MIX,4,ref_to_mri,484,2.1607142857142856,7,18.01095890410959,33,436,0.9008264462809917
OBS_MIX,4,mri_to_report,436,2.235897435897436,10,5.238356164383561,13,433,0.9931192660550459
OBS_MIX,4,report_to_biopmdt,433,2.278947368421053,8,3.2465753424657535,8,429,0.9907621247113164
OBS_MIX,4,biopmdt_to_biopsy,273,1.75,5,20.350684931506848,31,253,0.9267399267399268
OBS_MIX,4,biopsy_to_pathrep,253,1.5240963855421688,4,6.13972602739726,14,246,0.9723320158102767
OBS_MIX,4,pathrep_to_treatmdt,210,1.4,4,5.882191780821918,14,200,0.9523809523809523
OBS_MIX,4,treatmdt_to_outpat,200,1.342281879194631,4,6.523287671232877,15,196,0.98
OBS_MIX_DES_BIOPSY,4,ref_to_mri,484,2.1607142857142856,7,18.01095890410959,33,436,0.9008264462809917
OBS_MIX_DES_BIOPSY,4,mri_to_report,436,2.235897435897436,10,5.238356164383561,13,433,0.9931192660550459
OBS_MIX_DES_BIOPSY,4,report_to_biopmdt,433,2.278947368421053,8,3.2465753424657535,8,429,0.9907621247113164
OBS_MIX_DES_BIOPSY,4,biopmdt_to_biopsy,273,1.75,5,0.0,0,273,1.0
OBS_MIX_DES_BIOPSY,4,biopsy_to_pathrep,273,2.904255319148936,6,6.772602739726027,13,269,0.9853479853479854
OBS_MIX_DES_BIOPSY,4,pathrep_to_treatmdt,229,1.3630952380952381,3,6.49041095890411,13,220,0.9606986899563319
OBS_MIX_DES_BIOPSY,4,treatmdt_to_outpat,220,1.3496932515337423,5,7.095890410958904,13,213,0.9681818181818181
ALL_PROSTAD,4,ref_to_mri,484,2.1607142857142856,7,0.0,0,208,0.4297520661157025
ALL_PROSTAD,4,mri_to_report,208,4.0,4,0.5698630136986301,4,208,1.0
ALL_PROSTAD,4,report_to_biopmdt,208,4.0,4,0.0,0,208,1.0
ALL_PROSTAD,4,biopmdt_to_biopsy,129,2.5294117647058822,4,9.205479452054794,15,123,0.9534883720930233
ALL_PROSTAD,4,biopsy_to_pathrep,123,1.1941747572815533,4,3.241095890410959,7,119,0.967479674796748
ALL_PROSTAD,4,pathrep_to_treatmdt,101,1.086021505376344,3,2.7753424657534245,7,97,0.9603960396039604
ALL_PROSTAD,4,treatmdt_to_outpat,97,1.127906976744186,3,3.095890410958904,7,96,0.9896907216494846
ALL_BASELINE,5,ref_to_mri,408,1.9615384615384615,6,26.147945205479452,38,380,0.9313725490196079
ALL_BASELINE,5,mri_to_report,380,1.6964285714285714,5,7.495890410958904,14,371,0.9763157894736842
ALL_BASELINE,5,report_to_biopmdt,371,1.6488888888888888,4,5.526027397260274,12,366,0.9865229110512129
ALL_BASELINE,5,biopmdt_to_biopsy,230,1.369047619047619,6,16.887671232876713,27,209,0.908695652173913
ALL_BASELINE,5,biopsy_to_pathrep,209,1.3397435897435896,3,5.1726027397260275,11,205,0.9808612440191388
ALL_BASELINE,5,pathrep_to_treatmdt,160,1.2598425196850394,4,4.857534246575343,12,155,0.96875
ALL_BASELINE,5,treatmdt_to_outpat,155,1.3025210084033614,3,4.602739726027397,13,147,0.9483870967741935
OBS_MIX,5,ref_to_mri,408,1.9615384615384615,6,12.63013698630137,24,379,0.928921568627451
OBS_MIX,5,mri_to_report,379,2.36875,6,4.271232876712329,12,375,0.9894459102902374
OBS_MIX,5,report_to_biopmdt,375,2.167630057803468,6,2.6246575342465754,8,372,0.992
OBS_MIX,5,biopmdt_to_biopsy,233,1.6293706293706294,6,17.208219178082192,28,216,0.927038626609442
OBS_MIX,5,biopsy_to_pathrep,216,1.3935483870967742,4,5.301369863013699,11,211,0.9768518518518519
OBS_MIX,5,pathrep_to_treatmdt,164,1.1798561151079137,3,4.931506849315069,11,161,0.9817073170731707
OBS_MIX,5,treatmdt_to_outpat,161,1.3089430894308942,4,4.750684931506849,12,155,0.9627329192546584
OBS_MIX_DES_BIOPSY,5,ref_to_mri,408,1.9615384615384615,6,12.63013698630137,24,379,0.928921568627451
OBS_MIX_DES_BIOPSY,5,mri_to_report,379,2.36875,6,4.271232876712329,12,375,0.9894459102902374
OBS_MIX_DES_BIOPSY,5,report_to_biopmdt,375,2.167630057803468,6,2.6246575342465754,8,372,0.992
OBS_MIX_DES_BIOPSY,5,biopmdt_to_biopsy,233,1.6293706293706294,6,0.0,0,231,0.9914163090128756
OBS_MIX_DES_BIOPSY,5,biopsy_to_pathrep,231,2.431578947368421,6,5.638356164383562,13,225,0.974025974025974
OBS_MIX_DES_BIOPSY,5,pathrep_to_treatmdt,173,1.300751879699248,5,5.210958904109589,11,170,0.9826589595375722
OBS_MIX_DES_BIOPSY,5,treatmdt_to_outpat,170,1.2592592592592593,3,5.057534246575343,12,164,0.9647058823529412
ALL_PROSTAD,5,ref_to_mri,408,1.9615384615384615,6,0.0,0,207,0.5073529411764706
ALL_PROSTAD,5,mri_to_report,207,3.980769230769231,4,0.5671232876712329,4,207,1.0
ALL_PROSTAD,5,report_to_biopmdt,207,3.980769230769231,4,0.0,0,207,1.0
ALL_PROSTAD,5,biopmdt_to_biopsy,126,2.4705882352941178,4,9.517808219178082,14,114,0.9047619047619048
ALL_PROSTAD,5,biopsy_to_pathrep,114,1.2527472527472527,3,2.8,6,111,0.9736842105263158
ALL_PROSTAD,5,pathrep_to_treatmdt,88,1.1282051282051282,3,2.5205479452054793,7,85,0.9659090909090909
ALL_PROSTAD,5,treatmdt_to_outpat,85,1.1643835616438356,3,2.6191780821917807,7,83,0.9764705882352941
